City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,ciudad lazaro cardenas,17.9583,-102.2,27.92,84,14,1.27,MX,1694741764
221,clinton,42.587,-82.9199,16.7,76,20,0.0,US,1694741245
222,vilyuchinsk,52.9306,158.4028,15.15,54,100,5.61,RU,1694741765
223,butte,39.6499,-121.5677,33.12,33,0,5.14,US,1694741766
224,kapuskasing,49.4169,-82.4331,12.0,76,20,4.12,CA,1694741766
225,ouani,-12.1322,44.4258,24.53,75,30,1.87,KM,1694741767
226,leua,48.2156,18.6071,15.75,89,98,1.88,SK,1694741767
227,awjilah,29.1081,21.2869,22.05,57,0,2.79,LY,1694741767
228,san antonio de pale,-1.4014,5.6325,23.64,84,81,4.91,GQ,1694741768
229,hotan,37.0997,79.9269,23.79,16,0,1.84,CN,1694741768
230,isafjordur,66.0755,-23.124,6.39,68,13,1.81,IS,1694741769
231,wailua homesteads,22.0669,-159.378,28.24,80,75,6.69,US,1694741769
232,noyabrsk,63.1994,75.4507,11.81,68,36,2.68,RU,1694741769
233,la ronge,55.1001,-105.2842,13.14,88,100,5.66,CA,1694741770
234,yingkou,40.6648,122.2283,25.05,50,0,5.08,CN,1694741770
235,san patricio,28.017,-97.5169,30.97,69,0,6.68,US,1694741770
236,an nimas,19.1455,42.1201,18.73,28,2,1.19,SA,1694741771
237,kalmunai,7.4167,81.8167,27.35,72,54,6.14,LK,1694741771
238,whangarei,-35.7317,174.3239,16.53,57,15,5.08,NZ,1694741577
239,saint-felicien,48.6501,-72.4491,12.38,87,75,3.09,CA,1694741772
240,arawa,-6.2132,155.5367,28.58,80,86,1.22,PG,1694741772
241,hermanus,-34.4187,19.2345,15.45,75,82,15.25,ZA,1694741772
242,west island,-12.1568,96.8225,25.99,73,40,5.14,CC,1694741773
243,al ghayzah,16.2079,52.176,26.32,85,13,0.87,YE,1694741773
244,markovo,57.3206,107.0881,13.29,53,36,0.93,RU,1694741774
245,manta,-0.95,-80.7333,24.88,78,75,4.63,EC,1694741775
246,cannonvale,-20.2833,148.7,22.66,53,0,8.98,AU,1694741775
247,buka,40.8108,69.1986,15.43,42,2,1.89,UZ,1694741776
248,saint-pierre,-21.3393,55.4781,19.82,60,0,2.06,RE,1694741776
249,adam,22.3756,57.5233,26.55,64,13,2.46,OM,1694741777
250,anadyr,64.75,177.4833,5.28,93,75,2.0,RU,1694741777
251,saint croix,17.7397,-64.7388,29.25,84,0,2.06,VI,1694741777
252,el nido,11.1858,119.3956,28.35,75,96,3.38,PH,1694741778
253,boguchany,58.3814,97.4531,13.49,57,24,0.5,RU,1694741778
254,amahai,-3.3333,128.9167,26.49,83,95,6.32,ID,1694741778
255,jiagedaqi,50.4167,124.1167,15.69,44,92,3.28,CN,1694741779
256,zhumadian,32.9794,114.0294,25.58,65,0,2.49,CN,1694741511
257,'anat al qadimah,34.4659,41.9331,25.86,15,0,2.97,IQ,1694741779
258,saudarkrokur,65.7461,-19.6394,4.2,80,10,3.44,IS,1694741780
259,valparaiso,-33.0393,-71.6273,19.8,68,0,3.09,CL,1694741780
260,portland,45.5234,-122.6762,32.58,40,0,4.12,US,1694741533
261,gornozavodsk,58.3758,58.3211,7.8,94,41,1.16,RU,1694741780
262,umag,45.4314,13.5239,22.01,82,100,2.57,HR,1694741781
263,choix,26.7092,-108.3219,29.6,51,0,2.54,MX,1694741781
264,sola,-13.8833,167.55,25.43,83,93,2.17,VU,1694741781
265,palmer,42.1584,-72.3287,17.23,83,40,0.0,US,1694741783
266,codrington,-38.2667,141.9667,17.75,58,88,5.75,AU,1694741783
267,glace bay,46.1969,-59.957,19.94,98,100,5.66,CA,1694741784
268,periyanegamam,10.7333,77.1,24.28,79,99,6.89,IN,1694741784
269,colonia,50.9333,6.95,13.86,81,0,2.57,DE,1694741726
270,hamina,60.5697,27.1979,8.6,82,59,3.38,FI,1694741785
271,callao,-12.0667,-77.15,18.18,77,100,5.14,PE,1694741785
272,tidjikja,18.5564,-11.4271,34.2,22,9,2.07,MR,1694741786
273,lubango,-14.9172,13.4925,17.92,34,0,2.06,AO,1694741786
274,thurso,58.5927,-3.5259,12.14,82,100,6.73,GB,1694741786
275,ati,13.2154,18.3353,25.25,75,100,2.96,TD,1694741787
276,argo,37.6333,22.7333,23.49,46,9,1.43,GR,1694741787
277,tolanaro,-25.0319,46.9987,21.04,88,20,8.23,MG,1694741788
278,al jawf,29.5,38.75,24.05,34,0,3.2,SA,1694741788
279,daniel flores,9.3355,-83.6694,23.19,93,100,0.62,CR,1694741294
280,beidaihehaibin,39.8222,119.5181,24.22,61,0,3.36,CN,1694741789
281,port hedland,-20.3167,118.5667,27.03,50,1,1.54,AU,1694741789
282,usogorsk,63.4106,48.6872,11.3,83,18,3.95,RU,1694741790
283,al lagowa,11.4,29.1333,22.49,89,94,2.35,SD,1694741790
284,khemis el khechna,36.65,3.3308,25.59,78,40,1.54,DZ,1694741790
285,thunder bay,48.4001,-89.3168,13.99,82,100,3.09,CA,1694741791
286,constantia,44.1833,28.65,18.38,70,99,5.64,RO,1694741646
287,nemuro,43.3236,145.575,16.44,87,97,6.39,JP,1694741791
288,humahuaca,-23.2054,-65.3505,8.37,37,1,1.35,AR,1694741792
289,quezon,7.7303,125.0989,27.9,73,100,0.96,PH,1694741792
290,mpulungu,-8.7623,31.1141,22.63,58,0,4.12,ZM,1694741792
291,adler,43.43,39.92,16.09,77,40,5.0,RU,1694741793
292,ta`u,-14.2336,-169.5144,26.65,78,92,8.05,AS,1694741793
293,cabo san lucas,22.8909,-109.9124,32.01,66,0,3.6,MX,1694741725
294,smithers,54.7804,-127.1743,19.18,37,75,2.06,CA,1694741709
295,weno,7.4515,151.8468,30.97,74,75,3.09,FM,1694741794
296,touros,-5.1989,-35.4608,24.01,88,7,4.96,BR,1694741495
297,klyuchi,52.2667,79.1667,12.64,76,83,3.08,RU,1694741795
298,chui,-33.6971,-53.4616,8.49,85,46,2.64,UY,1694741795
299,okha,53.5739,142.9478,16.87,51,16,2.28,RU,1694741796
300,andrews farm,-34.6775,138.6637,19.83,64,0,3.13,AU,1694741796
301,yanacancha,-10.2411,-76.6456,6.38,87,88,1.92,PE,1694741796
302,shimoda,34.6667,138.95,31.17,80,71,2.38,JP,1694741797
303,puerto san jose,13.9256,-90.8244,26.63,82,100,2.94,GT,1694741797
304,stonehaven,56.9637,-2.2118,10.29,93,98,2.1,GB,1694741798
305,arteche,12.2645,125.4048,30.28,67,40,3.18,PH,1694741798
306,fort bragg,35.139,-79.006,23.85,71,0,4.12,US,1694741748
307,nuuk,64.1835,-51.7216,4.34,70,75,6.71,GL,1694741799
308,santa elena de uairen,4.6167,-61.1333,21.74,53,11,0.86,VE,1694741799
309,luoyang,34.6836,112.4536,25.68,60,0,1.33,CN,1694741799
310,kaindy,42.8247,73.6759,16.01,44,96,0.89,KG,1694741800
311,shetpe,44.1667,52.1167,17.17,53,70,2.27,KZ,1694741800
312,liepaja,56.5419,21.0367,5.99,100,0,0.0,LV,1694741800
313,chom bueng,13.62,99.5917,26.53,80,100,1.75,TH,1694741801
314,el granada,37.5027,-122.4694,24.4,81,100,7.72,US,1694741801
315,kongolo,-5.3833,27.0,23.54,81,4,1.32,CD,1694741801
316,port douglas,-16.4833,145.4667,24.02,58,64,8.32,AU,1694741507
317,kununurra,-15.7667,128.7333,30.99,25,29,5.14,AU,1694741802
318,lawton,34.6087,-98.3903,22.95,80,100,4.12,US,1694741636
319,lamu,-2.2717,40.902,25.12,85,35,6.16,KE,1694741803
320,de queen,34.0379,-94.3413,22.07,68,0,0.0,US,1694741804
321,barsi,18.2333,75.7,23.93,74,100,5.2,IN,1694741805
322,ayr,55.4627,-4.6339,11.29,87,100,2.06,GB,1694741677
323,fortuna,40.5982,-124.1573,18.29,89,0,5.14,US,1694741806
324,upata,8.0086,-62.3989,26.79,53,99,1.51,VE,1694741806
325,kurchum,48.5722,83.6542,13.65,50,84,1.62,KZ,1694741806
326,tromso,69.6496,18.957,5.01,81,69,2.06,NO,1694741807
327,szczawnica,49.4244,20.4849,15.31,96,86,1.65,PL,1694741807
328,yeniseysk,58.4497,92.1703,13.26,73,27,0.45,RU,1694741807
329,naze,28.3667,129.4833,27.51,80,100,4.54,JP,1694741808
330,sidi akkacha,36.4647,1.3026,23.16,63,98,1.56,DZ,1694741808
331,iskateley,67.6803,53.1512,6.44,94,100,5.59,RU,1694741809
332,beitbridge,-22.2167,30.0,18.33,57,0,2.63,ZW,1694741809
333,malango,-2.9627,119.9001,26.44,60,65,2.2,ID,1694741809
334,dzhangala,49.2167,50.3333,13.52,89,100,1.64,KZ,1694741810
335,greenland,43.0362,-70.8328,18.33,81,40,3.6,US,1694741810
336,nishinoomote,30.7333,131.0,28.31,94,75,3.6,JP,1694741810
337,susuman,62.7833,148.1667,5.46,61,99,1.59,RU,1694741811
338,kailua-kona,19.6406,-155.9956,28.98,81,75,5.14,US,1694741812
339,beloyarskiy,63.7119,66.6722,11.67,78,7,1.79,RU,1694741813
340,dakhla,23.6848,-15.958,20.71,89,24,8.19,EH,1694741814
341,hasaki,35.7333,140.8333,32.94,75,16,2.87,JP,1694741814
342,marechal candido rondon,-24.5561,-54.0567,11.84,66,0,1.88,BR,1694741814
343,takum,7.2667,9.9833,22.82,95,100,0.36,NG,1694741815
344,taoyuan city,24.9937,121.297,32.76,75,75,1.79,TW,1694741815
345,mejit,10.2753,170.8646,28.15,77,100,5.42,MH,1694741816
346,labrador city,52.9463,-66.9114,11.95,87,100,7.2,CA,1694741816
347,sungai penuh,-2.0833,101.3833,23.58,69,42,1.07,ID,1694741816
348,zaozersk,69.4005,32.4476,2.82,86,47,1.48,RU,1694741817
349,hualahuises,24.8847,-99.6733,29.65,51,63,3.14,MX,1694741817
350,novyy urgal,51.0736,132.5642,12.19,76,100,3.56,RU,1694741817
351,burang,30.25,81.1667,10.17,73,94,1.58,CN,1694741818
